SiteNumber,IslandCode,IslandName,SiteCode,SiteName,SurveyYear,Date,ScientificName,CommonName,ReserveStatus,Reference,Count,HorizontalSecci,Surge,MeanDepth
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Embiotoca lateralis,"striped surfperch, juvenile",Outside,FALSE,4,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Gibbonsia,kelpfish spp.,Outside,FALSE,1,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Girella nigricans,"opaleye, adult",Outside,FALSE,0,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Girella nigricans,"opaleye, juvenile",Outside,FALSE,0,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Halichoeres semicinctus,"rock wrasse, female",Outside,FALSE,0,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Halichoeres semicinctus,"rock wrasse, male",Outside,FALSE,0,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Hypsurus caryi,rainbow surfperch,Outside,FALSE,4,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Hypsypops rubicundus,"garibaldi, adult",Outside,FALSE,0,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Hypsypops rubicundus,"garibaldi, juvenile",Outside,FALSE,0,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Lythrypnus dalli,blue-banded goby,Outside,FALSE,0,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Ophiodon elongatus,"lingcod, adult",Outside,FALSE,2,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Orthonopias triacis,snubnose sculpin,Outside,FALSE,2,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Oxyjulis californica,"senorita, adult",Outside,FALSE,3,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Oxyjulis californica,"senorita, juvenile",Outside,FALSE,0,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Oxylebius pictus,painted greenling,Outside,FALSE,21,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Paralabrax clathratus,"kelp bass, adult",Outside,FALSE,0,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Paralabrax clathratus,"kelp bass, juvenile",Outside,FALSE,0,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Rhacochilus toxotes,rubberlip surfperch,Outside,FALSE,1,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Rhacochilus vacca,"pile perch, adult",Outside,FALSE,0,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Rhacochilus vacca,"pile perch, juvenile",Outside,FALSE,0,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Scorpaenichthys marmoratus,"cabezon, adult",Outside,FALSE,1,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Sebastes,"rockfish spp., juvenile",Outside,FALSE,2,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Sebastes atrovirens,"kelp rockfish, adult",Outside,FALSE,8,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Sebastes atrovirens,"kelp rockfish, juvenile",Outside,FALSE,10,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Sebastes carnatus,"gopher rockfish, adult",Outside,FALSE,1,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Sebastes caurinus,"copper rockfish, adult",Outside,FALSE,4,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Sebastes chrysomelas,"black and yellow rockfish, adult",Outside,FALSE,7,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Sebastes miniatus,"vermillion rockfish, adult",Outside,FALSE,1,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Sebastes mystinus,"blue rockfish, adult",Outside,FALSE,19,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Sebastes mystinus,"blue rockfish, juvenile",Outside,FALSE,0,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Sebastes paucispinis,"bocaccio, juvenile",Outside,FALSE,2,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Sebastes serranoides,"olive rockfish, adult",Outside,FALSE,2,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Sebastes serranoides/flavidus,"olive/yellowtail rockfish, juvenile",Outside,FALSE,0,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Sebastes serriceps,"treefish, adult",Outside,FALSE,1,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Sebastes serriceps,"treefish, juvenile",Outside,FALSE,0,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Semicossyphus pulcher,"California sheephead, female",Outside,FALSE,2,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Semicossyphus pulcher,"California sheephead, juvenile",Outside,FALSE,0,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Semicossyphus pulcher,"California sheephead, male",Outside,FALSE,1,12.9,5,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Alloclinus holderi,island kelpfish,Outside,FALSE,0,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Aulorhynchus flavidus,tubesnout,Outside,FALSE,6,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Brachyistius frenatus,kelp surfperch,Outside,FALSE,5,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Chromis punctipinnis,"blacksmith, adult",Outside,FALSE,0,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Chromis punctipinnis,"blacksmith, juvenile",Outside,FALSE,0,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Citharichthys stigmaeus,speckled sanddab,Outside,FALSE,7,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Coryphopterus nicholsi,blackeye goby,Outside,FALSE,7,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Embiotoca jacksoni,"black surfperch, adult",Outside,FALSE,0,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Embiotoca jacksoni,"black surfperch, juvenile",Outside,FALSE,1,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Embiotoca lateralis,"striped surfperch, adult",Outside,FALSE,18,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Embiotoca lateralis,"striped surfperch, juvenile",Outside,FALSE,6,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Girella nigricans,"opaleye, adult",Outside,FALSE,0,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Girella nigricans,"opaleye, juvenile",Outside,FALSE,0,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Halichoeres semicinctus,"rock wrasse, female",Outside,FALSE,0,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Halichoeres semicinctus,"rock wrasse, male",Outside,FALSE,0,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Hypsurus caryi,rainbow surfperch,Outside,FALSE,5,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Hypsypops rubicundus,"garibaldi, adult",Outside,FALSE,0,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Hypsypops rubicundus,"garibaldi, juvenile",Outside,FALSE,0,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Leiocottus hirundo,lavender sculpin,Outside,FALSE,1,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Lythrypnus dalli,blue-banded goby,Outside,FALSE,0,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Ophiodon elongatus,"lingcod, adult",Outside,FALSE,1,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Orthonopias triacis,snubnose sculpin,Outside,FALSE,2,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Oxyjulis californica,"senorita, adult",Outside,FALSE,2,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Oxyjulis californica,"senorita, juvenile",Outside,FALSE,0,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Oxylebius pictus,painted greenling,Outside,FALSE,22,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Paralabrax clathratus,"kelp bass, adult",Outside,FALSE,1,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Paralabrax clathratus,"kelp bass, juvenile",Outside,FALSE,0,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Phanerodon furcatus,white surfperch,Outside,FALSE,42,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Rhacochilus toxotes,rubberlip surfperch,Outside,FALSE,2,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Rhacochilus vacca,"pile perch, adult",Outside,FALSE,2,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Rhacochilus vacca,"pile perch, juvenile",Outside,FALSE,0,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Sebastes atrovirens,"kelp rockfish, adult",Outside,FALSE,7,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Sebastes atrovirens,"kelp rockfish, juvenile",Outside,FALSE,2,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Sebastes atrovirens/carnatus/caurinus/chrysomelas,"kelp/gopher/copper/black and yellow rockfish, juvenile",Outside,FALSE,2,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Sebastes caurinus,"copper rockfish, adult",Outside,FALSE,3,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Sebastes chrysomelas,"black and yellow rockfish, adult",Outside,FALSE,4,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Sebastes mystinus,"blue rockfish, adult",Outside,FALSE,12,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Sebastes mystinus,"blue rockfish, juvenile",Outside,FALSE,0,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Sebastes serranoides,"olive rockfish, adult",Outside,FALSE,1,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Sebastes serranoides/flavidus,"olive/yellowtail rockfish, juvenile",Outside,FALSE,0,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Sebastes serriceps,"treefish, adult",Outside,FALSE,1,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Sebastes serriceps,"treefish, juvenile",Outside,FALSE,1,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Semicossyphus pulcher,"California sheephead, female",Outside,FALSE,2,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Semicossyphus pulcher,"California sheephead, juvenile",Outside,FALSE,0,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-08-09,Semicossyphus pulcher,"California sheephead, male",Outside,FALSE,1,5.5,8,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Alloclinus holderi,island kelpfish,Outside,FALSE,0,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Atherinops affinis,top smelt,Outside,FALSE,11,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Aulorhynchus flavidus,tubesnout,Outside,FALSE,325,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Brachyistius frenatus,kelp surfperch,Outside,FALSE,8,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Chromis punctipinnis,"blacksmith, adult",Outside,FALSE,0,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Chromis punctipinnis,"blacksmith, juvenile",Outside,FALSE,0,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Citharichthys stigmaeus,speckled sanddab,Outside,FALSE,3,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Coryphopterus nicholsi,blackeye goby,Outside,FALSE,6,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Embiotoca jacksoni,"black surfperch, adult",Outside,FALSE,4,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Embiotoca jacksoni,"black surfperch, juvenile",Outside,FALSE,3,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Embiotoca lateralis,"striped surfperch, adult",Outside,FALSE,10,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Embiotoca lateralis,"striped surfperch, juvenile",Outside,FALSE,3,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Girella nigricans,"opaleye, adult",Outside,FALSE,0,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Girella nigricans,"opaleye, juvenile",Outside,FALSE,0,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Halichoeres semicinctus,"rock wrasse, female",Outside,FALSE,0,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Halichoeres semicinctus,"rock wrasse, male",Outside,FALSE,0,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Hypsurus caryi,rainbow surfperch,Outside,FALSE,3,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Hypsypops rubicundus,"garibaldi, adult",Outside,FALSE,0,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Hypsypops rubicundus,"garibaldi, juvenile",Outside,FALSE,0,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Leiocottus hirundo,lavender sculpin,Outside,FALSE,1,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Lythrypnus dalli,blue-banded goby,Outside,FALSE,0,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Ophiodon elongatus,"lingcod, adult",Outside,FALSE,1,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Oxyjulis californica,"senorita, adult",Outside,FALSE,0,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Oxyjulis californica,"senorita, juvenile",Outside,FALSE,0,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Oxylebius pictus,painted greenling,Outside,FALSE,4,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Paralabrax clathratus,"kelp bass, adult",Outside,FALSE,0,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Paralabrax clathratus,"kelp bass, juvenile",Outside,FALSE,0,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Rhacochilus vacca,"pile perch, adult",Outside,FALSE,1,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Rhacochilus vacca,"pile perch, juvenile",Outside,FALSE,1,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Sebastes atrovirens,"kelp rockfish, adult",Outside,FALSE,6,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Sebastes atrovirens,"kelp rockfish, juvenile",Outside,FALSE,2,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Sebastes auriculatus,"brown rockfish, adult",Outside,FALSE,2,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Sebastes caurinus,"copper rockfish, adult",Outside,FALSE,3,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Sebastes chrysomelas,"black and yellow rockfish, adult",Outside,FALSE,8,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Sebastes miniatus,"vermillion rockfish, adult",Outside,FALSE,2,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Sebastes mystinus,"blue rockfish, adult",Outside,FALSE,13,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Sebastes mystinus,"blue rockfish, juvenile",Outside,FALSE,0,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Sebastes serranoides,"olive rockfish, adult",Outside,FALSE,1,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Sebastes serranoides/flavidus,"olive/yellowtail rockfish, juvenile",Outside,FALSE,0,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Sebastes serriceps,"treefish, adult",Outside,FALSE,1,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Sebastes serriceps,"treefish, juvenile",Outside,FALSE,0,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Semicossyphus pulcher,"California sheephead, female",Outside,FALSE,1,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Semicossyphus pulcher,"California sheephead, juvenile",Outside,FALSE,0,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-09-12,Semicossyphus pulcher,"California sheephead, male",Outside,FALSE,1,12.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Alloclinus holderi,island kelpfish,Outside,FALSE,0,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Artedius corallinus,coralline sculpin,Outside,FALSE,3,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Aulorhynchus flavidus,tubesnout,Outside,FALSE,149,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Brachyistius frenatus,kelp surfperch,Outside,FALSE,11,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Chromis punctipinnis,"blacksmith, adult",Outside,FALSE,0,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Chromis punctipinnis,"blacksmith, juvenile",Outside,FALSE,0,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Coryphopterus nicholsi,blackeye goby,Outside,FALSE,17,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Embiotoca jacksoni,"black surfperch, adult",Outside,FALSE,2,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Embiotoca jacksoni,"black surfperch, juvenile",Outside,FALSE,0,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Embiotoca lateralis,"striped surfperch, adult",Outside,FALSE,27,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Embiotoca lateralis,"striped surfperch, juvenile",Outside,FALSE,6,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Gibbonsia,kelpfish spp.,Outside,FALSE,1,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Girella nigricans,"opaleye, adult",Outside,FALSE,0,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Girella nigricans,"opaleye, juvenile",Outside,FALSE,0,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Halichoeres semicinctus,"rock wrasse, female",Outside,FALSE,0,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Halichoeres semicinctus,"rock wrasse, juvenile",Outside,FALSE,0,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Halichoeres semicinctus,"rock wrasse, male",Outside,FALSE,0,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Hypsypops rubicundus,"garibaldi, adult",Outside,FALSE,0,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Hypsypops rubicundus,"garibaldi, juvenile",Outside,FALSE,0,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Icelinus tenuis,spotfin sculpin,Outside,FALSE,1,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Leiocottus hirundo,lavender sculpin,Outside,FALSE,1,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Lythrypnus dalli,blue-banded goby,Outside,FALSE,0,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Ophiodon elongatus,"lingcod, adult",Outside,FALSE,2,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Orthonopias triacis,snubnose sculpin,Outside,FALSE,3,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Oxyjulis californica,"senorita, adult",Outside,FALSE,6,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Oxyjulis californica,"senorita, juvenile",Outside,FALSE,0,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Oxylebius pictus,painted greenling,Outside,FALSE,39,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Paralabrax clathratus,"kelp bass, adult",Outside,FALSE,0,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Paralabrax clathratus,"kelp bass, juvenile",Outside,FALSE,0,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Rhacochilus vacca,"pile perch, adult",Outside,FALSE,2,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Rhacochilus vacca,"pile perch, juvenile",Outside,FALSE,0,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Sebastes atrovirens,"kelp rockfish, adult",Outside,FALSE,34,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Sebastes atrovirens,"kelp rockfish, juvenile",Outside,FALSE,1,10.5,6,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-11,Sebastes atrovirens/carnatus/caurinus/chrysomelas,"kelp/gopher/copper/black and yellow rockfish, juvenile",Outside,FALSE,62,10.5,6,43.27
