SiteNumber,IslandCode,IslandName,SiteCode,SiteName,SurveyYear,Date,CommonName,ScientificName,ReserveStatus,Reference,Mean_Density,HorizontalSecci,Surge,MeanDepth
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"black surfperch, juvenile",Embiotoca jacksoni,Outside,FALSE,0.0017,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"blacksmith, adult",Chromis punctipinnis,Outside,FALSE,0,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"blacksmith, juvenile",Chromis punctipinnis,Outside,FALSE,0,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"blue rockfish, adult",Sebastes mystinus,Outside,FALSE,0,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"blue rockfish, juvenile",Sebastes mystinus,Outside,FALSE,0,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"California sheephead, female",Semicossyphus pulcher,Outside,FALSE,0,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"California sheephead, male",Semicossyphus pulcher,Outside,FALSE,0,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"garibaldi, adult",Hypsypops rubicundus,Outside,FALSE,0,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"garibaldi, juvenile",Hypsypops rubicundus,Outside,FALSE,0,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"kelp bass, adult",Paralabrax clathratus,Outside,FALSE,0.0017,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"kelp bass, juvenile",Paralabrax clathratus,Outside,FALSE,0.0017,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"kelp rockfish, adult",Sebastes atrovirens,Outside,FALSE,0.005,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"kelp rockfish, juvenile",Sebastes atrovirens,Outside,FALSE,0,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"olive rockfish, adult",Sebastes serranoides,Outside,FALSE,0,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"olive rockfish, juvenile",Sebastes serranoides,Outside,FALSE,0.005,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"opaleye, adult",Girella nigricans,Outside,FALSE,0,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"opaleye, juvenile",Girella nigricans,Outside,FALSE,0,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"pile perch, adult",Rhacochilus vacca,Outside,FALSE,0.0083,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"pile perch, juvenile",Rhacochilus vacca,Outside,FALSE,0,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"senorita, adult",Oxyjulis californica,Outside,FALSE,0.0067,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"senorita, juvenile",Oxyjulis californica,Outside,FALSE,0,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"striped surfperch, adult",Embiotoca lateralis,Outside,FALSE,0.0017,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-08-19,"striped surfperch, juvenile",Embiotoca lateralis,Outside,FALSE,0,6.5,7,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"black surfperch, adult",Embiotoca jacksoni,Outside,FALSE,0,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"black surfperch, juvenile",Embiotoca jacksoni,Outside,FALSE,0.0167,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"blacksmith, adult",Chromis punctipinnis,Outside,FALSE,0.0017,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"blacksmith, juvenile",Chromis punctipinnis,Outside,FALSE,0,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"blue rockfish, adult",Sebastes mystinus,Outside,FALSE,0.0183,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"blue rockfish, juvenile",Sebastes mystinus,Outside,FALSE,0.015,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"California sheephead, female",Semicossyphus pulcher,Outside,FALSE,0.0017,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"California sheephead, male",Semicossyphus pulcher,Outside,FALSE,0,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"garibaldi, adult",Hypsypops rubicundus,Outside,FALSE,0,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"garibaldi, juvenile",Hypsypops rubicundus,Outside,FALSE,0,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"kelp bass, adult",Paralabrax clathratus,Outside,FALSE,0,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"kelp bass, juvenile",Paralabrax clathratus,Outside,FALSE,0,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"kelp rockfish, adult",Sebastes atrovirens,Outside,FALSE,0.0067,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"kelp rockfish, juvenile",Sebastes atrovirens,Outside,FALSE,0.0067,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"olive rockfish, adult",Sebastes serranoides,Outside,FALSE,0.0033,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"olive rockfish, juvenile",Sebastes serranoides,Outside,FALSE,0.0017,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"opaleye, adult",Girella nigricans,Outside,FALSE,0,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"opaleye, juvenile",Girella nigricans,Outside,FALSE,0,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"pile perch, adult",Rhacochilus vacca,Outside,FALSE,0,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"pile perch, juvenile",Rhacochilus vacca,Outside,FALSE,0.0017,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"senorita, adult",Oxyjulis californica,Outside,FALSE,0.1667,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"senorita, juvenile",Oxyjulis californica,Outside,FALSE,0,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"striped surfperch, adult",Embiotoca lateralis,Outside,FALSE,0,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-09-29,"striped surfperch, juvenile",Embiotoca lateralis,Outside,FALSE,0,9.8,NA,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"black surfperch, adult",Embiotoca jacksoni,Outside,FALSE,0,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"black surfperch, juvenile",Embiotoca jacksoni,Outside,FALSE,0,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"blacksmith, adult",Chromis punctipinnis,Outside,FALSE,0,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"blacksmith, juvenile",Chromis punctipinnis,Outside,FALSE,0,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"blue rockfish, adult",Sebastes mystinus,Outside,FALSE,0,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"blue rockfish, juvenile",Sebastes mystinus,Outside,FALSE,0,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"California sheephead, female",Semicossyphus pulcher,Outside,FALSE,0,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"California sheephead, male",Semicossyphus pulcher,Outside,FALSE,0,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"garibaldi, adult",Hypsypops rubicundus,Outside,FALSE,0,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"garibaldi, juvenile",Hypsypops rubicundus,Outside,FALSE,0,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"kelp bass, adult",Paralabrax clathratus,Outside,FALSE,0,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"kelp bass, juvenile",Paralabrax clathratus,Outside,FALSE,0,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"kelp rockfish, adult",Sebastes atrovirens,Outside,FALSE,0.0067,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"kelp rockfish, juvenile",Sebastes atrovirens,Outside,FALSE,0.05,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"olive rockfish, adult",Sebastes serranoides,Outside,FALSE,0,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"olive rockfish, juvenile",Sebastes serranoides,Outside,FALSE,0,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"opaleye, adult",Girella nigricans,Outside,FALSE,0,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"opaleye, juvenile",Girella nigricans,Outside,FALSE,0,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"pile perch, adult",Rhacochilus vacca,Outside,FALSE,0,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"pile perch, juvenile",Rhacochilus vacca,Outside,FALSE,0,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"senorita, adult",Oxyjulis californica,Outside,FALSE,0.1067,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"senorita, juvenile",Oxyjulis californica,Outside,FALSE,0,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"striped surfperch, adult",Embiotoca lateralis,Outside,FALSE,0.0017,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-09-21,"striped surfperch, juvenile",Embiotoca lateralis,Outside,FALSE,0,4.8,30,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"black surfperch, adult",Embiotoca jacksoni,Outside,FALSE,0,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"black surfperch, juvenile",Embiotoca jacksoni,Outside,FALSE,0,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"blacksmith, adult",Chromis punctipinnis,Outside,FALSE,0,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"blacksmith, juvenile",Chromis punctipinnis,Outside,FALSE,0,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"blue rockfish, adult",Sebastes mystinus,Outside,FALSE,0.0017,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"blue rockfish, juvenile",Sebastes mystinus,Outside,FALSE,0.0017,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"California sheephead, female",Semicossyphus pulcher,Outside,FALSE,0.0017,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"California sheephead, male",Semicossyphus pulcher,Outside,FALSE,0,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"garibaldi, adult",Hypsypops rubicundus,Outside,FALSE,0,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"garibaldi, juvenile",Hypsypops rubicundus,Outside,FALSE,0,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"kelp bass, adult",Paralabrax clathratus,Outside,FALSE,0,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"kelp bass, juvenile",Paralabrax clathratus,Outside,FALSE,0,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"kelp rockfish, adult",Sebastes atrovirens,Outside,FALSE,0.0017,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"kelp rockfish, juvenile",Sebastes atrovirens,Outside,FALSE,0,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"olive rockfish, adult",Sebastes serranoides,Outside,FALSE,0,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"olive rockfish, juvenile",Sebastes serranoides,Outside,FALSE,0,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"opaleye, adult",Girella nigricans,Outside,FALSE,0,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"opaleye, juvenile",Girella nigricans,Outside,FALSE,0,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"pile perch, adult",Rhacochilus vacca,Outside,FALSE,0,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"pile perch, juvenile",Rhacochilus vacca,Outside,FALSE,0,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"senorita, adult",Oxyjulis californica,Outside,FALSE,0.1867,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"senorita, juvenile",Oxyjulis californica,Outside,FALSE,0,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"striped surfperch, adult",Embiotoca lateralis,Outside,FALSE,0.01,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1989-09-14,"striped surfperch, juvenile",Embiotoca lateralis,Outside,FALSE,0.0017,8.5,12,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"black surfperch, adult",Embiotoca jacksoni,Outside,FALSE,0.0017,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"black surfperch, juvenile",Embiotoca jacksoni,Outside,FALSE,0,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"blacksmith, adult",Chromis punctipinnis,Outside,FALSE,0,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"blacksmith, juvenile",Chromis punctipinnis,Outside,FALSE,0,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"blue rockfish, adult",Sebastes mystinus,Outside,FALSE,0.015,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"blue rockfish, juvenile",Sebastes mystinus,Outside,FALSE,0,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"California sheephead, female",Semicossyphus pulcher,Outside,FALSE,0,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"California sheephead, male",Semicossyphus pulcher,Outside,FALSE,0.0017,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"garibaldi, adult",Hypsypops rubicundus,Outside,FALSE,0,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"garibaldi, juvenile",Hypsypops rubicundus,Outside,FALSE,0,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"kelp bass, adult",Paralabrax clathratus,Outside,FALSE,0,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"kelp bass, juvenile",Paralabrax clathratus,Outside,FALSE,0,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"kelp rockfish, adult",Sebastes atrovirens,Outside,FALSE,0.0017,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"kelp rockfish, juvenile",Sebastes atrovirens,Outside,FALSE,0.005,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"olive rockfish, adult",Sebastes serranoides,Outside,FALSE,0.0017,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"olive rockfish, juvenile",Sebastes serranoides,Outside,FALSE,0,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"opaleye, adult",Girella nigricans,Outside,FALSE,0,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"opaleye, juvenile",Girella nigricans,Outside,FALSE,0,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"pile perch, adult",Rhacochilus vacca,Outside,FALSE,0,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"pile perch, juvenile",Rhacochilus vacca,Outside,FALSE,0.0017,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"senorita, adult",Oxyjulis californica,Outside,FALSE,0.025,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"senorita, juvenile",Oxyjulis californica,Outside,FALSE,0.005,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"striped surfperch, adult",Embiotoca lateralis,Outside,FALSE,0.0017,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,1990-09-25,"striped surfperch, juvenile",Embiotoca lateralis,Outside,FALSE,0.0067,13.5,35,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"black surfperch, adult",Embiotoca jacksoni,Outside,FALSE,0.0083,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"black surfperch, juvenile",Embiotoca jacksoni,Outside,FALSE,0,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"blacksmith, adult",Chromis punctipinnis,Outside,FALSE,0,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"blacksmith, juvenile",Chromis punctipinnis,Outside,FALSE,0,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"blue rockfish, adult",Sebastes mystinus,Outside,FALSE,0,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"blue rockfish, juvenile",Sebastes mystinus,Outside,FALSE,0.0333,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"California sheephead, female",Semicossyphus pulcher,Outside,FALSE,0.0033,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"California sheephead, male",Semicossyphus pulcher,Outside,FALSE,0.0017,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"garibaldi, adult",Hypsypops rubicundus,Outside,FALSE,0,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"garibaldi, juvenile",Hypsypops rubicundus,Outside,FALSE,0,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"kelp bass, adult",Paralabrax clathratus,Outside,FALSE,0,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"kelp bass, juvenile",Paralabrax clathratus,Outside,FALSE,0,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"kelp rockfish, adult",Sebastes atrovirens,Outside,FALSE,0,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"kelp rockfish, juvenile",Sebastes atrovirens,Outside,FALSE,0,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"olive rockfish, adult",Sebastes serranoides,Outside,FALSE,0,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"olive rockfish, juvenile",Sebastes serranoides,Outside,FALSE,0.01,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"opaleye, adult",Girella nigricans,Outside,FALSE,0,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"opaleye, juvenile",Girella nigricans,Outside,FALSE,0,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"pile perch, adult",Rhacochilus vacca,Outside,FALSE,0,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"pile perch, juvenile",Rhacochilus vacca,Outside,FALSE,0,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"senorita, adult",Oxyjulis californica,Outside,FALSE,0.01,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"senorita, juvenile",Oxyjulis californica,Outside,FALSE,0,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"striped surfperch, adult",Embiotoca lateralis,Outside,FALSE,0,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,1991-10-16,"striped surfperch, juvenile",Embiotoca lateralis,Outside,FALSE,0,6.7,2,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,1992-09-16,"black surfperch, adult",Embiotoca jacksoni,Outside,FALSE,0.0017,11,20,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,1992-09-16,"black surfperch, juvenile",Embiotoca jacksoni,Outside,FALSE,0,11,20,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,1992-09-16,"blacksmith, adult",Chromis punctipinnis,Outside,FALSE,0,11,20,43.27
